COUNTYNAME,D1,D2,D3,D4
ADAMS,18,0,0,0
ALAMOSA,25,22,14,8
ARAPAHOE,18,0,0,0
ARCHULETA,26,24,16,10
BACA,26,23,16,8
BENT,24,16,15,0
BOULDER,7,0,0,0
BROOMFIELD,7,0,0,0
CHAFFEE,24,14,0,0
CHEYENNE,24,16,0,0
CLEAR CREEK,0,0,0,0
CONEJOS,26,24,16,6
COSTILLA,25,22,14,8
CROWLEY,24,16,5,0
CUSTER,24,22,14,8
DELTA,26,24,18,0
DENVER,18,0,0,0
DOLORES,26,25,18,10
DOUGLAS,24,0,0,0
EAGLE,26,13,0,0
ELBERT,24,11,0,0
EL PASO,24,12,0,0
FREMONT,24,14,0,0
GARFIELD,26,24,0,0
GILPIN,0,0,0,0
GRAND,15,0,0,0
GUNNISON,26,24,14,0
HINSDALE,26,25,14,6
HUERFANO,25,22,14,8
JACKSON,9,0,0,0
JEFFERSON,24,0,0,0
KIOWA,24,16,5,0
KIT CARSON,20,6,0,0
LAKE,20,0,0,0
LA PLATA,26,25,18,10
LARIMER,0,0,0,0
LAS ANIMAS,26,23,15,8
LINCOLN,24,16,0,0
LOGAN,4,0,0,0
MESA,26,25,18,0
MINERAL,26,24,14,0
MOFFAT,26,8,0,0
MONTEZUMA,26,25,18,10
MONTROSE,26,25,18,7
MORGAN,4,0,0,0
OTERO,24,16,12,0
OURAY,26,25,18,7
PARK,20,0,0,0
PHILLIPS,4,0,0,0
PITKIN,26,24,0,0
PROWERS,24,20,15,0
PUEBLO,24,16,9,0
RIO BLANCO,26,24,0,0
RIO GRANDE,26,24,13,0
ROUTT,15,11,0,0
SAGUACHE,26,24,14,8
SAN JUAN,26,25,16,7
SAN MIGUEL,26,25,18,7
SEDGWICK,0,0,0,0
SUMMIT,15,0,0,0
TELLER,24,0,0,0
WASHINGTON,18,0,0,0
WELD,18,0,0,0
YUMA,4,0,0,0
